id,entity_name,issuer_name,isin,position_percent,position_date,timestamp
6814,Qube Research & Technologies Limited,Corem Property Group AB,SE0010714287,0.0,2025-07-30,2025-08-01 14:09
6815,Arrowstreet Capital Limited Partnership,Fabege AB,SE0011166974,0.83,2025-07-31,2025-08-01 14:26
6816,Acadian Asset Management LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.61,2025-07-31,2025-08-01 14:59
6817,Acadian Asset Management LLC,Hexatronic Group AB,SE0018040677,1.2,2025-07-31,2025-08-01 15:37
6818,Walleye Capital LLC,Aktiebolaget Electrolux,SE0016589188,0.6,2025-07-31,2025-08-01 15:37
6819,Walleye Capital LLC,Aktiebolaget Electrolux,SE0016589188,0.59,2025-08-01,2025-08-04 07:30
6820,ALCUR FONDER AB,JM AB,SE0000806994,0.0,2025-07-31,2025-08-04 09:28
6821,Millennium Capital Partners LLP,Aktiebolaget SKF,SE0000108227,0.53,2025-07-31,2025-08-04 09:59
6822,Citadel Advisors LLC,Sedana Medical AB (publ),SE0015988373,0.51,2025-08-01,2025-08-04 10:47
6823,Brummer Multi-Strategy AB,Oncopeptides AB,SE0009414576,0.82,2025-08-01,2025-08-04 11:01
6824,Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,0.94,2025-08-01,2025-08-04 11:01
6825,Marshall Wace LLP,Boozt AB,SE0009888738,0.58,2025-08-01,2025-08-04 12:05
6826,MILLENNIUM INTERNATIONAL MANAGEMENT LP,Boliden AB,SE0020050417,0.0,2025-07-30,2025-08-04 13:20
6827,Qube Research & Technologies Limited,Fabege AB,SE0011166974,0.61,2025-08-01,2025-08-04 13:51
6828,Wellington Management International Limited,Mips AB,SE0009216278,0.91,2025-08-01,2025-08-04 13:51
6829,Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,0.99,2025-08-01,2025-08-04 14:06
6830,Wellington Management International Limited,Truecaller AB,SE0016787071,1.14,2025-08-01,2025-08-04 14:06
6831,Qube Research & Technologies Limited,Corem Property Group AB,SE0010714287,0.52,2025-08-01,2025-08-04 14:21
6832,Ennismore Fund Management Ltd,Cint Group AB (publ),SE0015483276,1.04,2025-08-01,2025-08-04 14:36
6833,JPMorgan Asset Management (UK) Ltd,Xvivo Perfusion Aktiebolag,SE0004840718,1.32,2025-08-01,2025-08-04 14:48
6834,JPMorgan Asset Management (UK) Ltd,Vitec Software Group AB (publ),SE0007871363,1.6,2025-08-01,2025-08-04 14:48
6835,Arrowstreet Capital Limited Partnership,Powercell Sweden AB (publ),SE0006425815,0.0,2025-07-24,2025-08-04 14:48
6836,Arrowstreet Capital Limited Partnership,Cibus Nordic Real Estate AB (publ),SE0010832204,1.43,2025-08-01,2025-08-04 14:57
6837,Acadian Asset Management LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,0.67,2025-07-31,2025-08-05 08:59
6838,White Creek Capital LLP,RaySearch Laboratories AB (publ),SE0000135485,0.0,2025-07-01,2025-08-05 08:59
6839,Citadel Advisors LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.7,2025-08-04,2025-08-05 10:43
6840,Brummer Multi-Strategy AB,Oncopeptides AB,SE0009414576,1.37,2025-08-04,2025-08-05 10:43
6841,Citadel Advisors LLC,Tobii AB,SE0002591420,0.52,2025-08-04,2025-08-05 11:10
6842,Helikon Investments Limited,Mips AB,SE0009216278,0.0,2025-06-05,2025-08-05 13:01
6843,JPMorgan Asset Management (UK) Ltd,Knowit Aktiebolag (publ),SE0000421273,0.71,2025-08-04,2025-08-05 13:56
6844,Arrowstreet Capital Limited Partnership,AB Sagax,SE0005127818,0.5,2025-08-04,2025-08-05 15:01
6845,Qube Research & Technologies Limited,Corem Property Group AB,SE0010714287,0.0,2025-08-01,2025-08-05 15:01
6846,Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,1.5,2025-08-04,2025-08-05 22:14
6847,PDT Partners LLC,Hexatronic Group AB,SE0018040677,1.41,2025-08-05,2025-08-06 01:29
6848,Citadel Advisors LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.68,2025-08-05,2025-08-06 10:21
6849,Brummer Multi-Strategy AB,Hexatronic Group AB,SE0018040677,1.1,2025-08-05,2025-08-06 10:34
6850,Citadel Advisors LLC,Tobii AB,SE0002591420,0.61,2025-08-05,2025-08-06 10:34
6851,Citadel Advisors LLC,Hexatronic Group AB,SE0018040677,0.81,2025-08-05,2025-08-06 11:53
6852,Millennium Capital (DIFC) Limited,Hexatronic Group AB,SE0018040677,0.5,2025-08-05,2025-08-06 12:23
6853,Millennium Capital Partners LLP,Episurf Medical AB,SE0003491562,0.67,2025-08-05,2025-08-06 12:36
