id,timestamp,company_name,lei,position_percent,latest_position_date
38693,2025-07-29 10:40,Telefonaktiebolaget LM Ericsson,549300W9JLPW15XIFM52,2.6,2025-07-28
38694,2025-07-29 10:52,SSAB AB,529900329VS14ZIML164,3.7,2025-07-28
38695,2025-07-29 10:52,New Wave Group AB,5493006EIYZZYQILKS31,2.41,2025-07-28
38696,2025-07-29 10:52,AFRY AB,549300Q87LKPPD4X9R30,2.08,2025-07-22
38697,2025-07-29 11:06,AAC Clyde Space AB,549300XQ7MZYAEFJLX90,0.64,2025-07-28
38698,2025-07-29 11:06,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,10.86,2025-07-28
38699,2025-07-29 11:06,BONESUPPORT HOLDING AB,549300COLY053IGTLD63,4.37,2025-07-28
38700,2025-07-29 11:06,JM AB,529900X0UEM9DOM6FK12,5.76,2025-07-28
38701,2025-07-29 11:26,Hexatronic Group AB,2138001VSY1B4U9JLM82,14.15,2025-07-28
38702,2025-07-29 11:26,INTERNATIONAL PETROLEUM CORPORATION,54930025D80LU0SMR645,1.5,2025-07-28
38703,2025-07-29 11:26,Net Insight AB,549300BMCT8IT2CFDH63,1.18,2025-07-28
38704,2025-07-29 11:26,MEKO AB,529900R809HC1RFRQA91,0.45,2025-07-28
38705,2025-07-29 11:26,Embracer Group AB,549300RFXXKT652HB549,6.01,2025-07-28
38706,2025-07-29 11:39,Boozt AB,549300HOEUKTVLRKQQ57,4.01,2025-07-28
38707,2025-07-29 11:39,Truecaller AB,549300TEYF1FA5G5GK26,4.77,2025-07-28
38708,2025-07-29 11:39,Lindab International AB,54930085MH6IRQ1JP227,2.13,2025-07-28
38709,2025-07-29 11:39,Yubico AB,549300I9RBIU9DW59H39,6.32,2025-07-28
38710,2025-07-29 11:39,SSAB AB,529900329VS14ZIML164,3.63,2025-07-28
38711,2025-07-29 11:39,Wallenstam AB,21380081R2P9MKFQBD25,3.41,2025-07-28
38712,2025-07-29 11:55,NIBE Industrier AB,549300ZQH0FIF1P0MX67,6.01,2025-07-28
38713,2025-07-29 11:55,Clas Ohlson Aktiebolag,549300MH8OETHBBKJU80,1.54,2025-07-28
38714,2025-07-29 11:55,Hexagon Aktiebolag,549300WJFW6ILNI4TA80,1.2,2025-07-28
38715,2025-07-29 11:55,Embracer Group AB,549300RFXXKT652HB549,5.91,2025-07-28
38716,2025-07-29 11:55,Sinch AB (publ),549300UXY7QM6IDCGI12,1.33,2025-07-28
38717,2025-07-29 12:09,Securitas AB,635400TTYKE8EIWDS617,4.62,2025-07-25
38718,2025-07-29 12:09,Storytel AB (publ),549300I1FSPPI9HHU419,0.96,2025-07-28
38719,2025-07-29 12:09,Tobii AB,54930045LD4XTJCBGS35,1.72,2025-07-28
38720,2025-07-29 12:09,Atrium Ljungberg AB,5493001NNP6HM67OVU09,1.0,2025-07-28
38721,2025-07-29 12:09,AAK AB (publ),549300GK4LGIDDWJWL07,2.26,2025-07-28
38722,2025-07-29 12:09,NCAB Group AB (publ),549300RUPCK2N43ES354,2.79,2025-07-22
38723,2025-07-29 12:25,Castellum Aktiebolag,549300GU5OHTR1T5IY68,7.53,2025-07-28
38724,2025-07-29 12:25,Munters Group AB,549300KYCB37YAVUV523,2.59,2025-07-28
38725,2025-07-29 12:25,Oncopeptides AB,549300J9WWQ5CBYQ1M77,0.49,2025-07-28
38726,2025-07-29 12:25,Intrum AB,549300UNCO2FCUWXX470,4.1,2025-07-28
38727,2025-07-29 12:25,G5 Entertainment AB (publ),549300K7QJ1N1FEG2X81,1.07,2025-07-22
38728,2025-07-29 12:41,Hexagon Aktiebolag,549300WJFW6ILNI4TA80,1.3,2025-07-28
38729,2025-07-29 12:41,Mips AB,549300LZSA4S0L54VQ25,5.52,2025-07-28
38730,2025-07-29 12:41,Yubico AB,549300I9RBIU9DW59H39,6.42,2025-07-28
38731,2025-07-29 12:41,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,10.75,2025-07-28
38732,2025-07-29 12:52,engcon AB,549300EMZ2B768S85S50,1.05,2025-07-28
38733,2025-07-29 12:52,Truecaller AB,549300TEYF1FA5G5GK26,4.91,2025-07-28
38734,2025-07-29 12:52,Fastighets AB Balder,549300GHKJCEZOAEUU82,2.94,2025-07-28
38735,2025-07-29 12:52,BioArctic AB,549300Y0OI2WVUNHLC33,3.93,2025-07-28
38736,2025-07-29 12:52,Storytel AB (publ),549300I1FSPPI9HHU419,1.08,2025-07-28
38737,2025-07-29 13:02,MilDef Group AB,9845009F7Q0D56B38270,4.4,2025-07-28
38738,2025-07-29 13:02,Vitec Software Group AB (publ),5493005EB5RV1QHE6H94,6.8,2025-07-28
38739,2025-07-29 13:02,HMS Networks AB,549300MOY2FDUUDIQ179,2.4,2025-07-28
38740,2025-07-29 13:19,Mips AB,549300LZSA4S0L54VQ25,5.42,2025-07-28
38741,2025-07-29 13:41,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,10.74,2025-07-28
38742,2025-07-29 13:41,Hemnet Group AB (publ),5493008VIU67J3HUAR07,2.07,2025-07-24
38743,2025-07-29 13:55,Oncopeptides AB,549300J9WWQ5CBYQ1M77,0.63,2025-07-28
38744,2025-07-29 13:55,New Wave Group AB,5493006EIYZZYQILKS31,2.51,2025-07-28
38745,2025-07-29 14:09,Embracer Group AB,549300RFXXKT652HB549,5.99,2025-07-28
38746,2025-07-29 14:09,Boozt AB,549300HOEUKTVLRKQQ57,3.82,2025-07-28
38747,2025-07-29 14:09,SAAB Aktiebolag,549300ZHO4JCQQI13M69,2.0,2025-07-28
38748,2025-07-29 14:09,Stillfront Group AB (publ),529900SYKCO4GYBTIJ54,1.69,2025-07-24
